ID,Card,Type,Stage / Rarity (trainer),Remaining Evo,Deck Feature Tier,Opener Archetype,Pressure,Wants,Possible CPU Deck Block?,Included in opp Deck?,Gated Until (promo only),,Feature Tier Key,
base2-37,Gloom,G,1,y,,,SL,"Foul Odor confuses both Gloom and the opponent at the same time, which can be strategic if Gloom is planning to evolve on the next turn or otherwise isn't expecting to need to attack again itself. Gloom can be turned into an effective sacrifice by doing this as well. Poisonpowder is also very useful and should be used as the default at all other times. Foul Odor wants to be powered up even when not being used to help prepare it for evolution, as Vileplume wants 4 energies to attack",,TRUE,,,,
base2-38,Lickitung,C,b,n,0.5,t,SL,"An opening role due to its high HP and chance to paralyze, making it an excellent opening staller. It rarely uses Supersonic as the coin flip for confusion coupled with non-damage doesn't make the energy price worth it, and most often doesn't even power up for it.",,TRUE,,,,
base2-39,Marowak,F,1,n,1,,,"To use Bonemerang primarily and not even power up Call for Friend, which is only used in desperate scenarios where bench pokemon are needed, such as Marowak being the only pokemon left and its death impending.",,TRUE,,,,
base2-4,Jolteon,E,1,n,2,,,"Pin Missile is primary. Quick Attack uses the same logic as Vaporeon's move of the same name, including deck composition options",,TRUE,,,,
base2-40,Nidorina,G,1,y,,,,Double Kick is primary. It doesn't want to be in a situation where it has to use Supersonic,,TRUE,,,,
base2-41,Parasect,G,1,n,1,,,"Spore causes Sleep automatically, but that only results in a 50/50 chance the opponent will miss a turn. Therefore, Slash is usually preferable.",,TRUE,,,,
base2-42,Persian,C,1,n,1,,WP,"Pounce is preferable due to the resulting damage reduction on the next turn. I think the bot will probably play this fine, though we should check if it accounts for the damage reduction in its planning",,TRUE,,,,
base2-43,Primeape,F,1,n,1,,HD,"Our bot might favor Tantrum due to the damage math, but it should account for the self-confuse potential as well. Tantrum does do high damage and the self-confuse isn't guaranteed, so using it as the primary might still be viable. I'd rather not try to overdictate to the bot on this one unless we find it's needed later",,TRUE,,,,
base2-44,Rapidash,R,1,n,1.5,,WP,Classic Attack Choice in the same shape as Fearow. The bot is probably fine,,TRUE,,,,
base2-45,Rhydon,F,1,n,2,,PC,"Horn Attack is primary since Ram does self-damage that might not be worth the attack damage. Ram becomes useful when it would kill but Horn Attack wouldn't, or if pushing the opponent's active pokemon to the bench would be useful",,TRUE,,,,
base2-46,Seaking,W,1,n,,,,Very weak for a stage 1 with no attack benefits. Autobuilder should avoid,,TRUE,,,,
base2-47,Tauros,C,b,n,,f,,Follows Primeape's logic in terms of Damage Scaling attack choices,,TRUE,,,,
base2-48,Weepinbell,G,1,y,,,SL,"Same logic as others who poison first, switch to a more damaging attack once poisoned",,TRUE,,,,
base2-49,Bellsprout,G,b,y,,,,"Vine Whip is primary. Call for Family should only be used on the first turn if there's little on the bench, or when desperate for bench pokemon. ",,TRUE,,,,
base2-5,Kangaskhan,C,b,n,1.5,t,BG,"To go first/stall while using Fetch. Only rarely wants to use Comet Punch or retreat. Its best use is to sit there and draw cards for as long as possible to help its owner power up the bench more quickly than their opponent. Comes at the risk of draining your own deck too quickly if it survives for too long, so Fetch should be instantly de-prioritized when deck cards start running low. At a certain point, passing without attacking becomes preferable over drawing more of the remaining card supply.",,TRUE,,,,
base2-50,Cubone,F,b,y,,a,WP,"To open or stall using Snivel. Rage is damage scaling and should be powered up, but only used when it might kill. The damage reduction from Swivel is usually higher value and should factor into the bot's choices. Rage is powered up ahead of time only because the energy is needed for Marowak",,TRUE,,,,
base2-51,Eevee,C,b,y,,e,"AP, SL",Likes to open if an evolution card is in hand. Otherwise it prefers the bench to wait until one shows up.,,TRUE,,,,
base2-52,Exeggcute,G,b,y,,e,,"Its primary attack depends on the deck it's in, as each cost different energy types. It can do just fine in a Psychic deck (due to Exeggutor's energy requirements more than its own), and if so, Hypnosis is available. If in a grass deck, Leech Seed is the one that can be used. Both being available is probably too rare to train the bot on for a basic pokemon that's trying to evolve anyway.",,TRUE,,,,
base2-53,Goldeen,W,b,y,,,,,,TRUE,,,,
base2-54,Jigglypuff,C,b,y,,a,SL,"Same Attack Choice logic as Wigglytuff, minus the scale of Wigglytuff's damage",,TRUE,,,,
base2-55,Mankey,F,b,y,,n,,"To use its pokemon power liberally so the bot can find out which prizes it wants to take or what's in the deck. Even if this doesn't actually give the bot a benefit, it looks like it's doing something",,TRUE,,,,
base2-56,Meowth,C,b,y,,e,BG,"To go first/early and use Pay Day to draw cards. Less valuable than Kangaskhan for the same function, even with its evolution factored in. ",,TRUE,,,,
base2-57,Nidoran ♀,G,b,y,,f,,"Same Call for Family logic as others with the same move, like Bellsprout. Should still power it up to ready it for evolution rather than actually wanting to use that attack",,TRUE,,,,
base2-58,Oddish,G,b,y,,a,SL,Sprout logic is the same as Call for Family in Bellsprout.,,TRUE,,,,
base2-59,Paras,G,b,y,,,,"To use Scratch instead of Spore in most cases following the same logic as others. If the bot does not do this for Paras specifically, it's probably fine. The others are more worth tuning than this one",,TRUE,,,,
base2-6,Mr. Mime,P,b,n,1,a,WP,"To be thrown in mid-game against anything that doesn't have an attack that deals 20 dmg or below, or confers a status condition other than paralysis, due to its pokemon power blocking damage above 20 and persistent status conditions nullifying that power. Its attack Damage Scales by the amount of damage the opponent has taken, so it can be a very effective finisher. It's a tank against strong things and flimsy against weak things.",,TRUE,,,,
base2-60,Pikachu B2,E,b,y,,a,BD,Opponent bench pokemon to deal sneaky damage to. Targets vulnerable ones.,,TRUE,,,,
base2-61,Rhyhorn,F,b,y,,a,WP,"Leer is the primary as it turns Rhyhorn into a very good staller. Horn Attack should only be powered up if it's planning to evolve, but takes over the primary position once powered. 3 energy on Rhyhorn usually translates into an evolution though, so this doesn't happen much.",,TRUE,,,,
base2-62,Spearow,C,b,y,,,,"Peck is primary. 3 energies is a lot to want to attach to a pokemon as weak as Spearow just for a chance at Mirror Move, and Spearow's HP is so low that a copied attack that it previously survived would probably not do much damage. It shouldn't even try to power this up unless readying itself for evolution",,TRUE,,,,
base2-63,Venonat,G,b,y,,a,SL,"Stun Spore is primary, due to its HP being too low to benifit much from Leech Life's healing. ",,TRUE,,,,
base2-64,Poke Ball,T,c,,s,,,To be used right away,,TRUE,,,,
base2-7,Nidoqueen,G,2,,2,,,"Mega Punch is the primary since having enough Nidokings on the bench for Boyfriends to be effective is unrealistic, even for a human player actively attempting to do it. The bot should only use this if energies don't allow for Mega Punch, and I think the bot will probably get this right already",,TRUE,,,,
base2-8,Pidgeot,C,2,,3,,PC,"Hurricane is the most disruptive attack in the game so far and should be preferred in all cases. Pidgeot loves to fight because of its harrassement potential, and it has high value in the active spot and low value on the bench",,TRUE,,,,
base2-9,Pinsir,G,b,n,1,,SL,"To usually only power up Irongrip. Guillotine does good damage but is expensive, and its energies are usually better applied elsewhere. If nothing else needs it, then Pinsir becomes happy to have Guillotine powered up, after which it becomes the primary attack",,TRUE,,,,
base3-1,Aerodactyl,F,1,n,3,,HT,To evolve before most opponent pokemon due to its evolution blocking other evolutions for both players. Prefers a deck with a lot of no-evolve pokemon to maximize the advantage. Hates fighting unless a duplicate exists because keeping its pokemon power active is too valuable to risk losing.,,TRUE,,,,
base3-10,Lapras,W,b,n,1,a,SL,"To Over-Attach energy for Water Gun, which is used as the primary attack. As long as it doesn't cost an extra turn in terms of killing the opponent, Lapras will try to confuse with Confuse Ray as well. Performs the function of a tank but fully invests in its attacks, unlike most other tanks, which is why it's not labeled as one. A high value single-stage pokemon for the autobuilder",,TRUE,,,,
base3-11,Magneton B3,E,1,n,2,,"HD, BD","Kamikaze Timing pattern in the same shape as others with self-destruct. Like those, potential bench self-kills and opponent kills should be factored into the weight.",,TRUE,,,,
base3-12,Moltres,R,b,n,0.5,h,,"To only use Dive Bomb since Wildfire asks for an Energy Funnel just to discard the opponent's next card(s) in the deck, and is nowhere near a good tradeoff unless the opponent's deck is close to empty (then it suddenly gains a lot of value). This will be excedingly rare though and might be a waste of time to tune. Its main attack is expensive and is a 50/50 chance of landing, making this card nearly useless. If the autobuilder wants a Moltres, it should take a different variant.",,TRUE,,,,
base3-13,Muk,G,1,n,2,,SL,"Very valuable against decks with passive pokemon powers, which is common in the Team Rocket set but doesn't get much play elsewhere. Most useful to nullify Aerodactyl, Mr. Mime, or Charizard's ability to attach DCE, which are not in every deck of their energy type. Muk's main attack is decent though, so the autobuilder shouldn't ignore.",,TRUE,,,,
base3-14,Raichu B3,E,1,n,2,,BD,"To come in against an opponent with 3 or more bench pokemon in order to take full advantage of its attack. As multiple bench pokemon can be damaged, it's best practice to choose already-damaged ones, ones with low HP that you can kill across multiple turns, and stronger ones that you might want to pre-weaken a little.",,TRUE,,,,
base3-15,Zapdos B3,E,b,n,2,h,BD,"To use Thunderstorm and weight potential bench damage over potential self-damage, unless close to death itself. Self-kills allow the opponent first strike against your replacement pokemon, so it'll affect your next fighter negatively as well. Depending on potential benefits of the attack, it's sometimes best to pass rather than take a self-kill. ",,FALSE,,,,
base3-16,Aerodactyl NH,F,1,n,3,,HT,Same as holo variant,,TRUE,,,,
base3-17,Articuno NH,W,b,n,2,h,"SL, BD",Same as holo variant,,TRUE,,,,
base3-18,Ditto NH,C,b,n,0.5,,,Same as holo variant,,TRUE,,,,
base3-19,Dragonite NH,C,2,,3,,"HD, PC",Same as holo variant,,TRUE,,,,
base3-2,Articuno,W,b,n,2,h,"SL, BD","Follows the Dewgong pattern for Attack Choice. Potential self-damage to the bench should be factored in to using Blizzard as well. It has a 50/50 shot to damage each bench so the bot might price it the same, but potential deaths on either bench should be factored in too. Costing yourself a prize if you have something with only 10 HP left might not always be worth it.",,TRUE,,,,
base3-20,Gengar NH,P,2,,3,,BD,Same as holo variant,,TRUE,,,,
base3-21,Haunter B3 NH,P,1,y,1.5,,"WP, SL",Same as holo variant,,TRUE,,,,
base3-22,Hitmonlee NH,F,b,n,1,f,"BD, HD",Same as holo variant,,TRUE,,,,
base3-23,Hypno NH,P,1,n,2,,BD,Same as holo variant,,TRUE,,,,
base3-24,Kabutops NH,F,2,,2,,AP,Same as holo variant,,TRUE,,,,
base3-25,Lapras NH,W,b,n,1,a,SL,Same as holo variant,,TRUE,,,,
base3-26,Magneton B3 NH,E,1,n,2,,HD,Same as holo variant,,TRUE,,,,
base3-27,Moltres NH,R,b,n,0.5,h,,Same as holo variant,,TRUE,,,,
base3-28,Muk NH,G,1,n,2,,SL,Same as holo variant,,TRUE,,,,
base3-29,Raichu B3 NH,E,1,n,2,,BD,Same as holo variant,,TRUE,,,,
base3-3,Ditto,C,b,n,0.5,,,To copy a pesky opponent or one with a high damage/low energy cost ratio. Autobuilder should probably block this,,TRUE,,,,
base3-30,Zapdos B3 NH,E,b,n,2,h,BD,Same as holo variant,,FALSE,,,,
base3-31,Arbok,G,1,n,1.5,,"SL, PC","Poison Fang is the primary. Terror Strike's logic follows the same shape as Ninetales' Lure, except with a small amount of damage dealt first. That damage still does not weight it above Poison Fang, but also makes Arbok more willing to enter in situations that force its use than Ninetales is to enter when only Lure is available",,TRUE,,,,
base3-32,Cloyster,W,1,n,2,,SL,Spike Cannon is primary. Already confirmed that the bot handles correctly as it even corrected my original logic here,,TRUE,,,,
base3-33,Gastly B3,P,b,y,,e,"SL, BG","To always use Lick in every situation, except the extremely rare scenario of not having enough energies in hand for building the bench/evolving Gastly while those energies do exist in the discard pile. We probably don't need to teach the bot Energy Conversion due to the rarity of its use cases. Gastly should still accept the second energy though because it's needed for evolution. If not hoping to evolve, no second energy.",,TRUE,,,,
base3-34,Golbat,G,1,n,1,,AP,"Wing Attack should be primary even if Golbat has damage that can be removed with Leech Life, so 30 offensive damage should outweigh 20 offensive damage + 20 healing. Leech Life becomes preferred if its healing will allow Golbat to survive until its next turn, when it would otherwise die. The damage potential of the next turn should be factored into the decision, as 20 offensive damage + 30 on the next turn is preferable to just doing 30 this turn and dying.",,TRUE,,,,
base3-35,Golduck,W,1,n,1.5,,ED,"A deck that is a combo Water/Psychic type, but is perfectly viable in just water. Should be avoided in just Psychic. Hyper Beam is an Energy Denial move, and those should always be weighted highly due to turning every turn into an Energy Funnel for the opponent. Works even better if the opponent's move is already an energy funnel. If it is not in a deck with P type energy, its other move isn't usable and doesn't need to be tuned. If both are available it's a standard Attack Choice in the shape of several others, including Dragonair",,TRUE,,,,
base3-36,Golem,F,2,,3,,HD,"Kamikaze Timing pattern in the same shape as others with self-destruct. Like those, potential bench self-kills and opponent kills should be factored into the weight. Should never, ever retreat unless retreating prevents an outright loss due to its astronomical retreat cost (and kamikazes should very rarely be retreated anyway).",,TRUE,,,,
base3-37,Graveler,F,1,y,,,WP,"Harden only if Rock Throw is not available or if a turn is needed to stall. Not indefinite stalling like Kangaskhan or another tank, but intentional stalling like it needs another turn before it can be powered up enough to evolve.",,TRUE,,,,
base3-38,Kingler,W,1,n,,,,"Crabhammer is usually primary but Flail follows the same Damage Scaling pattern as anything with Rage, and can potentially overtake Crabhammer in terms of damage dealt. The bot should be fine as long as it doesn't retreat in this position, which based on observed behavior, it might.",,TRUE,,,,
base3-39,Magmar B3,R,b,n,1,a,"WP, SL","An opening role, as it's one of the best openers available. Smokescreen has the potential to deny an attack, and Smog has a chance to poison. Similar to Beedrill, use Smog when opponent is not poisoned, Smokescreen after it is or before Smog is ready. If opening, it's perfectly valid to give that second energy to the bench instead if something high value is already available or can be evolved realistically quickly.",,TRUE,,,,
base3-4,Dragonite,C,2,,3,,"HD, PC","To evolve on the bench and use its Pokemon Power to Step In at an opportune time. Its attack is relatively underwhelming for what it is but can be powered up quickly in a deck with available DCE. Step In, if used well, can make up for this to some degree too, but is useless if Dragonite evolves in the active spot, which it might considering how useful Dragonair's attacks are. ",,TRUE,,,,
base3-40,Omastar,W,2,,2,,,"Water Gun asks for an Over-Attach of up to two additional energies. As long as the bot can do that freely and purposefully, it should handle this card fine",,TRUE,,,,
base3-41,Sandslash,F,1,n,1,,,Fury Swipes preferred due to damage potential. Slash should only be used when a guaranteed 20 dmg is needed and rarely ever else,,TRUE,,,,
base3-42,Seadra,W,1,n,1,,WP,"Water Gun asks for an Over-Attach in the same pattern as Omastar. Normal Attack Choice decisions after that, with Agility's potential damage denial being preferred unless Water Gun's added damage can kill or cost fewer turns to get to a kill",,TRUE,,,,
base3-43,Slowbro,P,1,n,1.5,,"AP, SL","To hide on the bench and take damage away from the active pokemon, rather than fight itself. Its attack is decent but it'll often already have stolen damage on it, as its pokemon power is more valuable than its attack. The bot should use it every turn where it's viable, but avoid actually killing Slowbro with it",,TRUE,,,,
base3-44,Tentacruel,W,1,n,1.5,,SL,"Pretty useless, autobuilder should avoid. Jellyfish Sting is primary, bot probably does fine.",,TRUE,,,,
base3-45,Weezing,G,1,n,2,,SL,"Another Kamikaze Timer with Selfdestruct, same pattern as the others. Bench damage is guaranteed to both benches rather than a coin flip",,FALSE,,,,
base3-46,Ekans,G,b,y,,e,SL,"To open, as it's an excellent status-locker. Poison first with Spit Poison and then switch to Wrap, in the same pattern as Beedrill",,TRUE,,,,
base3-47,Geodude,F,b,y,,,,Coin luck for doing any damage at all. Would much rather be on the bench collecting energy to evolve.,,TRUE,,,,
base3-48,Grimer,G,b,y,,a,SL,Almost no situation where Minimize would be used due to a 50/50 attack denial chance coming from Nasty Goo.,,TRUE,,,,
base3-49,Horsea,W,b,y,,e,WP,"Both Dark Mind and its pokemon power follow Hypno's bench damage logic. Its pokemon power should look to move damage from an injured pokemon on the bench to the active one if it results in a quicker death, or away from the active (or another bench pokemon) and onto a vulnerable bench pokemon. Taking damage away from the opponent's active should account for what the new HP would be after it loses that 10 dmg, and should not be done if that results in an additional turn required to kill it. Killing an opponent's active pokemon with its pokemon power (rather than an attack) is a situation it loves and should possibly even aim for, as that gives it a free attack against the replacement. A bot on the other side of that should be able to recognize it and try to avoid it by healing or retreating, as giving the opponent first attack against a fresh pokemon should be a high weight to avoid, overriding even the unwillingness to spend a retreat cost in many cases. This is why a post-attack poison death (right before the opponent's turn) and a self-kill are rated low as well. ",,TRUE,,,,
base3-5,Gengar,P,2,,3,,BD,To sneaky knock out opponents using bench damage or its Pokemon Power,,TRUE,,,,
base3-50,Kabuto,F,1,y,,,WP,"To sit on the bench and wait for an evolution, though its pokemon power does help it survive if forced to fight. This should not be counted on though, and it hates a fighting evolution due to low HP and the energy disparity between itself and Kabutops",,TRUE,,,,
base3-51,Krabby,W,b,y,,,,Call for Family follows the same pattern as with Bellsprout,,TRUE,,,,
base3-52,Omanyte,W,1,y,,,,"To Over-Attach two additional energies, though it prefers to stay on the bench and evolve. Its pokemon power is passive but shouldn't factor into decisions.",,TRUE,,,,
base3-53,Psyduck,W,b,y,,,,"To play in a combined Water/Psychic deck if Golduck (from this set or Team Rocket) is there too. Does just fine in a water-only deck but can't use Headache if it does, which should should rarely be used anyway",,TRUE,,,,
base3-54,Shellder,W,b,y,,,"WP, SL","To Confuse with Supersonic first, deny damage with Hide in Shell second.",,TRUE,,,,
base3-55,Slowpoke,P,b,y,,,AP,"Space Out is the primary attack due to the Energy Funnel cost of Scavenge. Scavenge should be useful if a specific Trainer card is wanted from the discard pile that could benefit the player more than anything that can be done with Slowpoke at the time, as Slowpoke likely won't survive to evolve after using this.",,TRUE,,,,
base3-56,Tentacool,W,b,y,,n,PC,"To escape to the player's hand using its pokemon power when the situation looks bad for it. This can happen mid-turn so the turn-loss of a 'Teleport'-type move shouldn't be a factor. This is free so it should be done rather than letting Tentacool be killed on the next turn, unless there's a need to stall for one additional turn at the cost of sacrificing Tentacool instead",,TRUE,,,,
base3-57,Zubat,G,b,y,,e,"SL, AP","Confusing with Supersonic first is the most valuable move. Once the opponent is confused, Leech Life becomes preferred.",,TRUE,,,,
base3-58,Mr. Fuji,T,u,,"m, r",,,"The same function as Scoop Up, except it only applies to the bench and cards are shuffled back into the deck rather than the player's hand. GBC didn't give this to the CPU decks, and I don't think we should either",y,FALSE,,,,
base3-59,Energy Search,T,c,,s,,,"To exist in multiple numbers in decks with more than one energy type. Used very easily and possibly by default just because it exists in the bot's hand. The best time is when a specific variety of energy is needed at the time but lacked in its owner's hand. Its weight when an energy is not immediately needed could come from the fact that it removes an additional card from the deck, meaning desired cards have one less card to contend with for being drawn by the RNG on subsequent turns. That weight inverts as the number of cards in its user's deck gets lower. If we do this right, the bot should be forced to make difficult decisions in situations where it draws an Energy Search, desperately needs energy, but is running low on cards in its deck. A test of our success might be the bot doing a variety of different choices here based on all the other factors around it, though the situation won't be super common.",,TRUE,,,,
base3-6,Haunter B3,P,1,y,1.5,,"WP, SL","To punch above its weight while stalling for an evolution, as it's a very competent fighter that might even be overpowered for an evolving Stage 1. Its pokemon power requires a coin flip for damage to land, so the bot should factor that in to promotion decisions. Playing this guy without an evolution ready is a valid choice, though it should still choose to evolve rather than stay as a Haunter when it doesn have the option. The autobuilder should limit the number of these in deck for balance rather than because it's a bad card, but not avoid them entirely. Maybe combine with other Haunter variants instead of keeping it consistent in either direction.",,TRUE,,,,
base3-60,Gambler,T,c,,d,,,"Trigger conditions should be the same as Professor Oak, but its usefulness should be weighted lower. Hand cards get returned to the deck rather than sent to the discard pile, but this means a tails not only gives you a worse hand but also adds more noise to the deck's remaining RNG pool, though you don't have to worry about burning as many cards as you can before discarding your hand like with Oak.",,TRUE,,,,
base3-61,Recycle,T,c,,m,,,To be used liberally and resurrect valuable pokemon or a needed evolution card,,TRUE,,,,
base3-62,Mysterious Fossil,T,c,,e,,,"To sit on the bench and not be put in the active spot unless used to stall, which will normally only provide a single extra turn, but does not give the opponent a prize for killing it. Its preferred spot is the bench, where it's Over-Attached with energy needed for its eventual evolution, if planning to evolve it",,TRUE,,,,
base3-7,Hitmonlee,F,b,n,1,f,"BD, HD","To use Stretch Kick whenever High Jump Kick isn't available or when it can kill something on the bench. Otherwise, High Jump Kick is a very high value move. ",,TRUE,,,,
base3-8,Hypno,P,1,n,2,,BD,"Rarely ever uses Prophecy, as it doesn't want to enter a match when Dark Mind isn't available. Dark Mind should be used to deal steady bench damage to whatever is vulnerable, even choosing to build up damage on a bench pokemon over multiple turns. Weak things like Magikarp or something already close to death are preferred. The next priority after that is to pre-damage something strong that hasn't entered the fight yet. ",,TRUE,,,,
base3-9,Kabutops,F,2,,2,,AP,"Absorb is primary and should be built up to. As long as that happens, it's a classic Attack Choice for the bot that it will probably get correct",,TRUE,,,,
base5-1,Dark Alakazam,P,2,,3,,PC,"To hit and run with Teleport Blast. Attack the opponent and escape to the bench behind sacrificial fodder or a tank (fodder allows a quick return at the cost of giving the opponent a prize). A low/zero retreat cost pokemon that can eat the attack is also an option. Mind Shock is useful when the opponent is resistant to Psychic type or if the added 10 damage can result in a kill. If the opponent is not a threat, Dark Alakazam can hang in there and Mind Shock",,TRUE,,,,
base5-10,Dark Machamp,F,2,,2,,PC,"To jump in mid-game and surprise a strong, evolved, and powered-up opponent pokemon with Fling, sending all the cards back into the opponent's deck. It does not want to use Mega Punch and does not want to be put in a position where it will ever be forced to use Mega Punch unless the opponent is on their last pokemon",,TRUE,,,,
base5-11,Dark Magneton,E,1,n,2,,ED,"To use Magnetic Lines to sweep energy away from the opponent's active pokemon each turn and onto the most useless looking bench pokemon. Not one like Magikarp that can evolve strong and be aided in its evolution by additional energies. Preferably a non-evolving one like Electabuzz who doesn't benefit much from additional energies, pushing as many as it can onto these targets. If the opponent pokemon is already as powered up as they will need to be, additional energy attachments become free. It only needs Sonicboom when the opponent is resistant to Electric type",,TRUE,,,,
base5-12,Dark Slowbro,P,1,n,1,,AP,"To time its evolution in order to resurrect high value pokemon from the discard pile. Its attack is very under powered and using it is almost a throwaway of the card while trying to inflict a 50/50 shot at a medium amount of damage, which can be more valid than retreating.",,TRUE,,,,
base5-13,Dark Vileplume,G,2,,2,,"HT, HD","To strategically deny the opponent's use of trainer cards by simply existing, meaning its evolution involves timing since it blocks your own trainers too. Its attack has high damage potential but almost guarantees death on the next turn. Therefore its best place is on the bench, holding off trainer usage. It should only be sent in when its trainer-blocking abilities are no longer wanted, no longer needed, if a duplicate exists on the bench, if your need to try for large damage quickly becomes great enough. It prefers a deck that intentionally does not use many trainer cards in order to use this denial as a strategy.",,TRUE,,,,
base5-14,Dark Weezing,G,1,n,2,,"SL, HD","To ruin a strong opponent pokemon's day by showing up and using Stun Gas, where Poisoning is the opponent's best possible outcome. It likes to live in a deck full of Koffings and Weezings/Dark Weezings, and if enough exist on the bench at the same time, it can become a competent attacker with Mass Explosion, with a maximum of 80 dmg if all four Koffings/evolutions are in play, which is enough to one-shot almost any other ""dark"" pokemon",,TRUE,,,,
base5-15,Here Comes Team Rocket!,T,r,,p,,,,,TRUE,,,,
base5-16,Rocket's Sneak Attack,T,r,,p,,,To check the opponent's hand and get rid of the most dangerous Trainer card there,,TRUE,,,,
base5-17,Rainbow Energy,Energy,,,,,,,,TRUE,,,,
base5-18,Dark Alakazam NH,P,2,,3,,PC,"To hit and run with Teleport Blast. Attack the opponent and escape to the bench behind sacrificial fodder or a tank (fodder allows a quick return at the cost of giving the opponent a prize). A low/zero retreat cost pokemon that can eat the attack is also an option. Mind Shock is useful when the opponent is resistant to Psychic type or if the added 10 damage can result in a kill. If the opponent is not a threat, Dark Alakazam can hang in there and Mind Shock",,TRUE,,,,
base5-19,Dark Arbok NH,G,1,n,2,,"BD, SL","To deal bench damage and poison the opponent at the same time with Poison Vapor. Stare is used before Dark Arbok is powered up enough for Poison Vapor or if there is an actively disruptive Pokemon Power on the opponent's bench, like Aerodactyl's Prehistoric Power. This is a much more menacing card than the 10 damage number on its face suggests, though its HP is low",,TRUE,,,,
base5-2,Dark Arbok,G,1,n,2,,"BD, SL","To deal bench damage and poison the opponent at the same time with Poison Vapor. Stare is used before Dark Arbok is powered up enough for Poison Vapor or if there is an actively disruptive Pokemon Power on the opponent's bench, like Aerodactyl's Prehistoric Power. This is a much more menacing card than the 10 damage number on its face suggests, though its HP is low",,TRUE,,,,
base5-20,Dark Blastoise NH,W,2,,3,,"HD, WP",Hydrocannon wants Over-attach. Attack Choice between that and Rocket Tackle once powered up enough,,TRUE,,,,
base5-21,Dark Charizard NH,R,2,,3,,HD,"Wants Coin Luck for Continuous Fireball, and to Over-Attach as many energies as possible (though maybe not more than 8 or so) for additional chances at Coin Luck",,TRUE,,,,
base5-22,Dark Dragonite NH,C,2,,2,,HD,"Loves to come from the bench to summon additional pokemon when the bench is low. Other than that it depends on luck, as it's low HP and its attack is all or nothing",,TRUE,,,,
base5-23,Dark Dugtrio NH,F,1,n,2,,PC,"A Bench Engine that wants to hang out on the bench in high numbers, multiplying the number of 20 Dmg coin flips a retreating opponent pokemon must go through",,TRUE,,,,
base5-24,Dark Golbat NH,G,1,n,1.5,,BD,"Attacks vulnerable bench pokemon through its pokemon power and Flitter. Flitter can also hit the opponent's active pokemon if beneficial. Low HP so best use-cases might be quick cheap kills. It's hard to keep a vulnerable pokemon safe from this one, but it's hard to keep Dark Golbat safe after it strikes.",,TRUE,,,,
base5-25,Dark Gyarados NH,W,1,n,2,,"SL, HD","Uses Ice Beam to try to hold the opponent in place. Its Pokemon Power means that a fully powered-up Dark Gyarados has a 50/50 chance upon death to deal 60 dmg to its attacker. It also has the potential to Over-Attach energies to deal even more potential damage upon death, with the aim of being just enough to take its attacker with it. However, the 50/50 chance should make this a secondary investment, with the primary investment still being readying the bench",,TRUE,,,,
base5-26,Dark Hypno NH,P,1,n,2,,HD,"To come in after the opponent has a full or mostly full bench and deal high potential damage with Bench Manipulation, preferably as a surprise against a strong opponent pokemon. It does not want to use Psypunch, unless no pokemon exist on the bench or it evolved from Drowzee while in the active spot and does not have the required energy for its main attack yet. ",,TRUE,,,,
base5-27,Dark Machamp NH,F,2,,2,,PC,"To jump in mid-game and surprise a strong, evolved, and powered-up opponent pokemon with Fling, sending all the cards back into the opponent's deck. It does not want to use Mega Punch and does not want to be put in a position where it will ever be forced to use Mega Punch unless the opponent is on their last pokemon",,TRUE,,,,
base5-28,Dark Magneton NH,E,1,n,2,,ED,"To use Magnetic Lines to sweep energy away from the opponent's active pokemon each turn and onto the most useless looking bench pokemon. Not one like Magikarp that can evolve strong and be aided in its evolution by additional energies. Preferably a non-evolving one like Electabuzz who doesn't benefit much from additional energies, pushing as many as it can onto these targets. If the opponent pokemon is already as powered up as they will need to be, additional energy attachments become free. It only needs Sonicboom when the opponent is resistant to Electric type",,TRUE,,,,
base5-29,Dark Slowbro NH,P,1,n,1,,AP,"To time its evolution in order to resurrect high value pokemon from the discard pile. Its attack is very under powered and using it is almost a throwaway of the card while trying to inflict a 50/50 shot at a medium amount of damage, which can be more valid than retreating.",,TRUE,,,,
base5-3,Dark Blastoise,W,2,,3,,"HD, WP",Hydrocannon wants Over-attach. Attack Choice between that and Rocket Tackle once powered up enough,,TRUE,,,,
base5-30,Dark Vileplume NH,G,2,,2,,"HT, HD","To strategically deny the opponent's use of trainer cards by simply existing, meaning its evolution involves timing since it blocks your own trainers too. Its attack has high damage potential but almost guarantees death on the next turn. Therefore its best place is on the bench, holding off trainer usage. It should only be sent in when its trainer-blocking abilities are no longer wanted, no longer needed, if a duplicate exists on the bench, if your need to try for large damage quickly becomes great enough. It prefers a deck that intentionally does not use many trainer cards in order to use this denial as a strategy.",,TRUE,,,,
base5-31,Dark Weezing NH,G,1,n,2,,"SL, HD","To ruin a strong opponent pokemon's day by showing up and using Stun Gas, where Poisoning is the opponent's best possible outcome. It likes to live in a deck full of Koffings and Weezings/Dark Weezings, and if enough exist on the bench at the same time, it can become a competent attacker with Mass Explosion, with a maximum of 80 dmg if all four Koffings/evolutions are in play, which is enough to one-shot almost any other ""dark"" pokemon",,TRUE,,,,
